[1580,WrappedArray([640,5.7868204], [1341,5.7727046], [5072,5.496954], [2441,5.4852257], [3254,5.360487], [5379,5.3576975], [1751,5.2752166], [283,5.260925], [2867,5.2539496], [41,5.2097774])]
[471,WrappedArray([1341,6.1895704], [4996,6.06004], [665,5.9996963], [2467,5.9753838], [5642,5.8454733], [4558,5.5583367], [5202,5.5385733], [3455,5.5171423], [5933,5.488102], [4166,5.482004])]
[1591,WrappedArray([5052,4.9069705], [4191,4.5966206], [809,4.5208025], [2373,4.409876], [4801,4.346234], [283,4.3257065], [3902,4.294515], [46,4.232596], [5160,4.2272053], [2155,4.2162066])]
[1342,WrappedArray([5052,6.1264906], [46,5.8138075], [3009,5.7980113], [3396,5.4633927], [3508,5.391633], [3587,5.373633], [1864,5.3726563], [4191,5.3711057], [1346,5.336136], [5141,5.271071])]
[2122,WrappedArray([5328,7.3660994], [4703,6.756361], [5525,6.6216855], [745,6.426069], [947,6.4008703], [1610,6.391087], [4894,6.3598394], [5141,6.2708054], [1394,6.120118], [46,6.052299])]
[2142,WrappedArray([1416,6.92451], [3480,6.8286114], [3723,6.800613], [5328,6.4151087], [4844,6.335369], [527,6.21038], [4392,6.047511], [4941,5.833896], [89,5.8118463], [5783,5.701641])]
[463,WrappedArray([5328,7.6563993], [653,7.3417983], [3222,6.3808885], [2297,6.301408], [775,6.270334], [3915,6.24549], [4158,6.2154675], [423,6.170121], [809,6.1294336], [5756,6.0576534])]
[833,WrappedArray([5328,8.105306], [3915,7.5618343], [5052,6.7088466], [3667,6.6011443], [46,6.5735965], [2373,6.507631], [4158,6.4307666], [614,6.2210617], [3897,6.2167473], [6027,6.045054])]
[3794,WrappedArray([870,7.832995], [1445,7.6757646], [4441,7.6714334], [4125,7.5266924], [3548,7.257383], [4358,7.2568617], [2920,7.0743423], [5245,6.682459], [3076,6.6648], [345,6.625523])]
[1645,WrappedArray([4583,5.8948236], [1070,5.724145], [4894,5.595252], [3549,5.4848905], [5003,5.462747], [5816,5.4432373], [356,5.433607], [283,5.431326], [4912,5.4142504], [553,5.380566])]
[3175,WrappedArray([1341,6.057819], [41,5.4706225], [5072,5.435332], [693,5.358766], [283,5.3316803], [2640,5.310327], [2467,5.283984], [4565,5.2585263], [527,5.2093697], [642,5.1822343])]
[496,WrappedArray([5202,10.702437], [665,10.670792], [1989,10.398084], [4069,10.120771], [4974,10.031965], [2549,9.617547], [341,9.555755], [112,9.383111], [2813,9.363193], [3714,9.311485])]
[2366,WrappedArray([3165,6.51386], [1414,6.25877], [3870,6.1502466], [2269,6.0202937], [4751,5.9970436], [799,5.976061], [3009,5.9616075], [681,5.8744097], [399,5.8472185], [527,5.8434215])]
[2866,WrappedArray([3144,5.870712], [2252,5.8434286], [3870,5.6126647], [2640,5.557207], [3723,5.5545154], [1414,5.530526], [3165,5.474384], [399,5.425824], [158,5.407898], [5560,5.2567906])]
[148,WrappedArray([1098,13.19727], [745,12.057923], [1102,11.741725], [89,10.952459], [353,10.799693], [4056,10.409877], [1445,10.336303], [2884,10.105305], [738,10.08814], [5560,10.076867])]
[1088,WrappedArray([2441,6.7293835], [89,6.324106], [527,6.121386], [3480,6.111829], [3723,6.104555], [1213,6.066369], [4264,5.900096], [2364,5.8750014], [2623,5.8494477], [1111,5.824463])]
[1238,WrappedArray([3870,5.595278], [870,5.5089464], [2640,5.498776], [1341,5.429102], [2269,5.4081125], [878,5.3794246], [3144,5.322859], [1927,5.299807], [1541,5.282961], [1515,5.258512])]
[3918,WrappedArray([206,7.139385], [4191,6.7496643], [947,6.678473], [5141,6.525725], [5803,6.149138], [906,6.111349], [745,6.0833244], [2274,5.981593], [5243,5.959009], [3009,5.9469924])]
[1829,WrappedArray([144,9.947092], [700,9.854666], [1341,9.382803], [2673,9.249214], [14,9.13272], [2821,9.085472], [2151,8.857605], [2191,8.797909], [98,8.75893], [4199,8.751181])]
[1959,WrappedArray([2549,7.1338253], [1416,6.301838], [1914,6.098756], [364,6.053408], [3969,5.7469873], [668,5.724185], [5758,5.7155404], [1520,5.706685], [2640,5.6919417], [440,5.6528635])]
[2659,WrappedArray([5004,8.579592], [4997,8.363868], [1394,7.8672185], [2432,7.76134], [2151,7.7430105], [3061,7.7089033], [589,7.6375537], [3149,7.6195374], [2977,7.5143743], [2329,7.411408])]
[3749,WrappedArray([1332,11.992231], [535,11.769253], [1412,10.617532], [3570,10.596413], [5258,10.357813], [1456,9.995006], [3480,9.830105], [3359,9.644534], [4525,9.633777], [5849,9.58668])]
[540,WrappedArray([5328,7.0062423], [3915,6.5082498], [5525,5.6320996], [4703,5.4611278], [3549,5.395388], [4419,5.3587294], [5214,5.346758], [2252,5.298101], [4158,5.254952], [1070,5.2522244])]
[1460,WrappedArray([3222,6.4264593], [4191,6.3820043], [5328,6.1846957], [5052,6.159912], [1226,5.957324], [3480,5.7622867], [423,5.7296715], [4657,5.7064414], [5072,5.533902], [4244,5.50864])]
[1990,WrappedArray([4703,8.61668], [2735,8.382978], [5882,8.112801], [1198,8.002661], [2252,7.376318], [2920,7.3448424], [979,7.2306805], [986,6.9733477], [4894,6.9374413], [754,6.879751])]
[2580,WrappedArray([356,5.5867076], [5003,5.3936954], [3856,5.339077], [5204,5.3078322], [1307,5.2635], [1098,5.2442303], [2339,5.202694], [4358,5.1830926], [597,5.1686296], [870,5.166592])]
[1721,WrappedArray([2441,7.665209], [2160,6.4996796], [89,6.1916857], [4936,6.167452], [4660,5.885198], [4023,5.83322], [3870,5.776696], [2618,5.703931], [5606,5.6984844], [1185,5.6734624])]
[2811,WrappedArray([2441,5.3560705], [283,4.9517684], [5560,4.767316], [2339,4.752614], [3820,4.726628], [5003,4.6896405], [4660,4.689593], [2884,4.6813726], [3306,4.6743336], [3549,4.6648827])]
[392,WrappedArray([1907,9.430197], [3570,9.115482], [1989,8.607641], [1014,8.569848], [5681,8.561605], [5247,8.346039], [2956,8.246147], [341,8.198829], [5202,8.12007], [1126,8.074812])]
[1522,WrappedArray([3186,5.1954327], [1445,5.072051], [4751,4.801914], [5119,4.4081645], [2640,4.379726], [870,4.287509], [5245,4.2063556], [4565,4.0446415], [1411,3.9433258], [3144,3.9343932])]
[243,WrappedArray([1416,7.222313], [745,6.9315996], [1596,6.7207704], [4392,6.6170087], [89,6.300692], [353,6.196436], [5863,5.935684], [2884,5.917455], [3222,5.90728], [5328,5.888116])]
[623,WrappedArray([2640,6.828959], [1416,5.847781], [4751,5.627616], [3144,5.531337], [1213,5.140314], [527,5.04638], [668,5.024424], [5588,4.9581084], [2851,4.953575], [799,4.949666])]
[1483,WrappedArray([1394,9.447931], [21,9.388485], [2713,8.72255], [5243,8.30488], [5320,8.24944], [2151,8.056133], [589,8.015621], [3455,7.8303185], [153,7.8078856], [665,7.666532])]
[2563,WrappedArray([283,3.836888], [2339,3.73105], [3723,3.6550837], [2441,3.6356876], [128,3.619949], [2694,3.6196377], [3820,3.5991826], [452,3.5825198], [567,3.5784822], [1732,3.5743797])]
[1084,WrappedArray([3144,6.4346437], [3165,6.0616965], [399,6.0356], [1414,5.985429], [3870,5.964772], [3405,5.7989106], [5660,5.723778], [3723,5.7157974], [2694,5.616645], [1098,5.584273])]
[1025,WrappedArray([5258,6.6588907], [89,6.600029], [527,6.2188215], [3480,6.1389127], [3222,5.9817514], [4583,5.8714514], [5849,5.7522407], [5560,5.731646], [3723,5.7240314], [283,5.714151])]
[1395,WrappedArray([3723,6.4616756], [1416,6.37223], [128,6.3354053], [745,6.0861053], [4392,6.026085], [589,5.73864], [3480,5.637657], [3222,5.615379], [3405,5.559208], [3165,5.5251746])]
[3475,WrappedArray([4383,7.5559344], [3144,6.6164246], [3870,6.3849273], [4751,6.0536003], [1327,6.0225635], [2640,5.9200883], [2441,5.9190745], [1459,5.8347287], [2920,5.783887], [399,5.7624164])]
[1896,WrappedArray([2549,7.611253], [5328,7.555934], [4974,7.5240784], [2502,7.187387], [5642,6.9666605], [653,6.9288235], [5756,6.7362137], [5810,6.695892], [3222,6.6084595], [4756,6.554277])]
[737,WrappedArray([5052,6.37491], [3897,5.684977], [6027,5.546222], [5328,5.452073], [2697,5.313735], [606,5.2389636], [2373,5.2346654], [3805,5.23394], [1307,4.9623647], [5051,4.9594574])]
[897,WrappedArray([144,7.0605655], [2640,6.49281], [98,6.266819], [2269,6.257685], [2191,6.231447], [2930,6.2257004], [602,6.1372876], [365,6.055971], [2721,6.036477], [3144,6.0321617])]
[1127,WrappedArray([2441,5.170581], [283,5.1665196], [452,5.0972915], [4583,5.075676], [3723,5.0741205], [5258,5.0263505], [2339,5.0242634], [3149,5.0095587], [1732,4.9315085], [2694,4.920847])]
[1507,WrappedArray([144,7.7040343], [2432,7.584578], [2449,7.0856905], [5666,7.0574446], [2441,7.0329366], [2358,7.018668], [2151,6.919779], [5241,6.737232], [2925,6.596213], [3061,6.544998])]
[2387,WrappedArray([1754,7.6318674], [5328,7.1397953], [3508,7.0022597], [4703,6.9991584], [4158,6.988789], [5141,6.9551277], [4997,6.8313403], [2735,6.8015623], [1385,6.555156], [745,6.5163584])]
[858,WrappedArray([3870,6.3806515], [1428,6.188434], [1417,6.062496], [5133,6.057901], [2269,6.0565224], [3149,5.8953066], [5204,5.870197], [1989,5.777058], [1414,5.769389], [5867,5.766292])]
[3698,WrappedArray([3222,5.2114086], [3009,4.861765], [1307,4.8134093], [3818,4.808996], [389,4.8051515], [5052,4.7727823], [775,4.760878], [614,4.7481265], [4191,4.7457385], [3902,4.728667])]
[2999,WrappedArray([1416,9.776001], [3784,9.652931], [668,9.650097], [1596,9.5849285], [535,9.556749], [1657,9.47604], [2549,9.467289], [1213,9.444448], [2560,9.390521], [5856,9.193242])]
[3179,WrappedArray([668,5.746793], [4441,5.6193805], [2640,5.478844], [2560,5.384489], [2252,5.3356824], [2441,5.2933], [4723,5.179729], [418,5.17522], [1596,5.114611], [1213,5.090051])]
[1270,WrappedArray([3256,5.6483674], [1341,5.573378], [3932,5.557085], [3009,5.459869], [488,5.411592], [2441,5.3747153], [91,5.336959], [3870,5.296239], [640,5.2873187], [3738,5.2187247])]
[1650,WrappedArray([5328,8.318674], [423,7.621676], [653,7.498041], [2640,7.2076902], [1596,7.0968], [2502,6.881756], [2707,6.8082895], [283,6.7566504], [5052,6.6999464], [1416,6.687822])]
